fokontany,new_commune,old_commune,comm_fkt
AMBODIARA,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD_AMBODIARA
MAROTOKO,MAROTOKO,MAROTOKO,MAROTOKO_MAROTOKO
AMBALAVIA,MAROTOKO,MAROTOKO,MAROTOKO_AMBALAVIA
AMBATOMITRATRAKA,MAROTOKO,MAROTOKO,MAROTOKO_AMBATOMITRATRAKA
AMBARIJATSY,MAROTOKO,MAROTOKO,MAROTOKO_AMBARIJATSY
AMBOHIMAHAVELONA,MAROTOKO,MAROTOKO,MAROTOKO_AMBOHIMAHAVELONA
AMBODIARA,IFANADIANA,IFANADIANA,IFANADIANA_AMBODIARA
ANALAMARINA,TSARATANANA,TSARATANANA,TSARATANANA_ANALAMARINA
AMBALAFATAKANA EST,TSARATANANA,TSARATANANA,TSARATANANA_AMBALAFATAKANA EST
AMBALAFARY,TSARATANANA,TSARATANANA,TSARATANANA_AMBALAFARY
MAROFOTOTRA,TSARATANANA,TSARATANANA,TSARATANANA_MAROFOTOTRA
AMBOHIMASINA,TSARATANANA,TSARATANANA,TSARATANANA_AMBOHIMASINA
BEFARY,TSARATANANA,TSARATANANA,TSARATANANA_BEFARY
AMBATOHARANANAKELY,TSARATANANA,TSARATANANA,TSARATANANA_AMBATOHARANANAKELY
AMBOHIPO,TSARATANANA,TSARATANANA,TSARATANANA_AMBOHIPO
SOANIHERENANA NORD,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD_SOANIHERENANA NORD
AMBALAVARY,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD_AMBALAVARY
AMBOHIMAHATSINJO,AMBOHIMIERA,AMBOHIMIERA,AMBOHIMIERA_AMBOHIMAHATSINJO
FIADANANA NORD,AMBOHIMIERA,AMBOHIMIERA,AMBOHIMIERA_FIADANANA NORD
AMBODIMANGA,AMBOHIMIERA,AMBOHIMIERA,AMBOHIMIERA_AMBODIMANGA
FALIARIVO,AMBOHIMIERA,AMBOHIMIERA,AMBOHIMIERA_FALIARIVO
FASINTSARA ANDAKANA,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD_FASINTSARA ANDAKANA
NOSIMBOAHANGY,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD_NOSIMBOAHANGY
AMBALAHERANA,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD_AMBALAHERANA
AMPASIMADINIKAKELY,MAROHARATRA,MAROHARATRA,MAROHARATRA_AMPASIMADINIKAKELY
AMBALAVOLO,MAROHARATRA,MAROHARATRA,MAROHARATRA_AMBALAVOLO
AMBOHITSARA EST,MAROHARATRA,MAROHARATRA,MAROHARATRA_AMBOHITSARA EST
ANIVORANO,MAROHARATRA,MAROHARATRA,MAROHARATRA_ANIVORANO
MAHATSARA,MAROHARATRA,MAROHARATRA,MAROHARATRA_MAHATSARA
BETAMPO NORD,ANALAMPASINA,ANALAMPASINA,ANALAMPASINA_BETAMPO NORD
AMBOHIMIARINA,ANALAMPASINA,ANALAMPASINA,ANALAMPASINA_AMBOHIMIARINA
MATSITSIRANO,ANALAMPASINA,ANALAMPASINA,ANALAMPASINA_MATSITSIRANO
FOTSIALANANA,KELILALINA,KELILALINA,KELILALINA_FOTSIALANANA
AMBODIROTRA,ANTARETRA,ANTARETRA,ANTARETRA_AMBODIROTRA
ANDONABE,ANTARETRA,ANTARETRA,ANTARETRA_ANDONABE
AMPASIMBE,ANTARETRA,ANTARETRA,ANTARETRA_AMPASIMBE
AMBOATROTROKA,ANTARETRA,ANTARETRA,ANTARETRA_AMBOATROTROKA
MAROLANANANA,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD_MAROLANANANA
AMPITOMITA,ANTSINDRA,ANTSINDRA,ANTSINDRA_AMPITOMITA
ANIVORANO,ANTSINDRA,ANTSINDRA,ANTSINDRA_ANIVORANO
